ArchiveID	OriginalID	Species	Race	Method	SampleDate	YEAR	LocID	CollLoc	BegLongitude	BegLatitude	EndLongitude	EndLatitude	FieldPreserve	LabPreserve	Sex	ForkLength	AdClip	HeadTag	LifeStage	PhysApp	Tissue	SamplerNote	ArchiveNote	AirTemp	WaterTemp	MaturityRanking	QA/QC	CWT_Code	PIT_Tag	Hallprint	Radio_Tag	Acoustic_Tag	Total_Length	ArchivePres	depleted
U000042DLC	U000042DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/14/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	117	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000041DLC	U000041DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/14/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	115	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000056DLC	U000056DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/16/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	119	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000055DLC	U000055DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/16/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	59	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000054DLC	U000054DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/16/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	128	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000053DLC	U000053DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/16/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	144	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000052DLC	U000052DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/16/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	60	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000051DLC	U000051DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/16/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	68	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000050DLC	U000050DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/16/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	115	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000049DLC	U000049DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/16/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	88	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000048DLC	U000048DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/16/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	62	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000047DLC	U000047DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/16/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	77	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000046DLC	U000046DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/16/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	78	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000045DLC	U000045DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/16/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	131	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000057DLC	U000057DLC	CHIN	WINTER	MIDWATER TRAWL	3/18/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	119	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000059DLC	U000059DLC	CHIN	FALL	MIDWATER TRAWL	3/18/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	64	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000058DLC	U000058DLC	CHIN	WINTER	MIDWATER TRAWL	3/18/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	122	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000060DLC	U000060DLC	CHIN	WINTER	MIDWATER TRAWL	3/18/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	100	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000062DLC	U000062DLC	CHIN	SPRING	MIDWATER TRAWL	3/18/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	81	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000061DLC	U000061DLC	CHIN	WINTER	MIDWATER TRAWL	3/18/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	93	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000064DLC	U000064DLC	CHIN	WINTER	MIDWATER TRAWL	3/18/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	115	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
